Impression_ID,Campaign_ID,CPF,Impression_Date,Email_Opened,Email_Clicked
90942,13,54614566942,2024-05-13,No,No
86280,10,92160279573,2024-03-12,No,No
11349,15,90848303966,2024-12-13,No,No
20125,9,92515305689,2023-05-01,Yes,No
55854,7,86172218343,2024-10-26,Yes,Yes
69699,5,50243288212,2024-02-10,Yes,Yes
18112,14,64507048041,2023-04-19,Yes,Yes
94623,4,82956022253,2024-09-04,Yes,No
92564,11,04329221873,2023-07-10,Yes,Yes
90002,10,64708496105,2023-12-09,Yes,No
18100,7,62397959738,2024-01-23,No,No
37910,6,77287395148,2024-06-28,No,No
43936,10,73557939822,2024-05-18,Yes,No
88566,6,06255605957,2023-01-09,Yes,No
61545,12,01353212192,2023-12-07,No,No
19065,4,52281507688,2024-01-26,No,No
31775,8,72012577345,2023-01-27,No,No
54578,7,75449270321,2024-06-14,No,No
16392,5,31434441671,2024-01-26,No,No
19633,11,27215811697,2023-02-02,Yes,No
52796,7,30001189821,2023-07-22,No,No
88689,8,23727372744,2024-03-13,Yes,Yes
26671,9,22874656286,2024-11-10,No,No
24147,8,90992121102,2024-12-20,No,No
94368,7,94030115477,2024-12-07,No,No
52500,8,36118025304,2023-02-20,No,No
89328,8,08952385638,2024-07-30,No,No
26932,13,53149083097,2024-05-13,No,No
72018,3,08979701481,2024-12-12,Yes,Yes
47625,9,92835075293,2024-02-02,No,No
97317,4,03674898888,2023-08-07,No,No
12993,9,81572902951,2024-07-09,Yes,No
42593,1,23972780189,2023-10-02,No,No
64542,2,88788697905,2023-08-21,Yes,Yes
29944,14,58894909637,2023-04-11,No,No
73686,14,43333794043,2024-07-15,Yes,Yes
11658,7,07594212411,2024-03-24,Yes,No
38602,14,56485007165,2024-10-22,No,No
88726,1,76912017558,2023-04-23,No,No
54426,5,27488288566,2023-03-17,No,No
39745,9,73469692953,2023-02-21,No,No
56981,14,01192553739,2023-04-04,No,No
40412,12,15679365452,2023-04-21,No,No
16699,2,34285994497,2024-11-19,No,No
93980,7,62379077459,2024-03-11,Yes,No
56786,1,51817790972,2023-04-23,Yes,Yes
67029,8,82194731595,2024-11-13,Yes,Yes
46643,9,90548452158,2023-01-11,Yes,No
96999,5,32157872275,2023-08-28,Yes,No
94864,4,51134362669,2023-12-23,Yes,No
57651,6,16433135317,2023-07-31,Yes,No
44699,13,08678437521,2023-04-15,Yes,No
75528,8,44452053235,2024-03-14,Yes,No
51002,1,73128542087,2024-06-03,Yes,Yes
53452,6,26894302509,2024-11-15,No,No
13257,7,26826391110,2024-02-06,Yes,No
11692,4,02510046280,2023-06-08,Yes,Yes
47944,1,36912593546,2023-11-16,No,No
66707,14,14066351592,2024-09-07,No,No
99104,12,39430367347,2023-06-30,No,No
25767,8,30058011441,2024-02-05,Yes,Yes
55022,14,11755629105,2024-11-08,No,No
52586,1,52128893393,2024-10-31,Yes,Yes
29588,5,62849051349,2024-09-09,Yes,Yes
43849,8,69611551546,2023-07-17,Yes,Yes
38659,12,58067892224,2024-11-22,No,No
51362,1,71025679629,2023-06-06,No,No
77128,9,89794914119,2023-11-05,Yes,Yes
74840,8,28874393377,2024-08-15,No,No
10978,4,49730604780,2024-02-21,No,No
16100,4,30735524420,2024-08-19,No,No
87396,7,29843189851,2023-01-08,No,No
38222,11,93358427388,2024-03-20,No,No
91162,12,73407027412,2023-10-15,Yes,Yes
57406,15,29129580862,2023-06-03,Yes,Yes
80256,3,44094444930,2024-11-05,Yes,No
66728,13,32362517615,2024-03-04,Yes,No
28143,6,78064684403,2023-10-02,Yes,Yes
13156,5,14844278504,2023-04-01,No,No
60590,14,25101677465,2024-07-02,No,No
92481,10,86182355945,2023-05-14,No,No
44407,10,78317223587,2023-01-09,Yes,No
