Subscription_ID,Campaign_ID,CPF,Subscription_Date,Subscription_Value
9577,1,49722204463,2024-05-26,90
3494,13,68590033482,2023-07-06,60
9994,13,14939671340,2024-08-16,90
7399,5,38431169772,2024-12-15,80
6921,14,13511432322,2023-01-05,90
8290,3,16265804353,2023-01-15,80
3659,7,27642654648,2024-02-12,50
4904,14,94692808602,2023-11-15,50
9791,4,43786720678,2023-04-30,120
8821,4,61077879301,2023-01-28,120
7487,1,89100351600,2023-12-01,60
4601,5,22464296141,2023-09-24,100
6851,7,04800284226,2023-05-14,90
8525,14,53828910866,2023-04-19,120
3795,6,60005236956,2023-10-06,90
8682,5,63307684287,2024-06-10,50
8604,2,91680859892,2024-06-05,90
9423,8,42824191091,2024-01-02,70
8330,3,73820149728,2024-12-18,90
5932,10,50025887650,2023-03-22,100
4637,9,39355285029,2024-02-01,60
5146,14,81443122146,2024-10-13,50
5941,13,52614187321,2023-10-09,50
6176,4,63246460533,2024-10-18,80
9642,1,88305206442,2023-01-20,50
8646,9,17912715773,2024-04-25,90
4775,7,07911469914,2023-03-08,60
6484,1,82163853797,2024-03-07,120
4558,11,20728968311,2023-12-24,80
5870,7,04893682533,2023-09-09,90
5043,13,83877459619,2024-10-25,60
6093,8,93470668181,2023-07-27,70
5982,14,83377720920,2024-11-08,50
9130,5,24914696910,2023-07-05,80
3569,10,48243084307,2024-12-15,120
3874,4,74437106048,2024-07-21,100
3106,12,95991054310,2024-02-14,80
9505,1,63711852686,2024-07-05,100
6615,8,44120754666,2024-04-11,50
7808,14,84020307225,2024-01-06,120
7162,6,47749311919,2024-05-31,80
9147,8,69808258312,2024-02-20,100
4970,5,46298196224,2024-04-11,120
8754,7,41357801052,2023-11-25,60
6725,1,00853077494,2024-01-28,80
7834,7,96891968581,2024-06-09,80
6127,5,14752117048,2024-09-02,120
8313,5,79604311077,2023-08-09,80
3185,1,49210426927,2024-12-08,70
9045,7,26955550710,2023-09-11,50
7235,6,10089604508,2024-09-29,100
7102,1,52942336400,2024-07-01,120
5346,7,06386233122,2024-07-22,100
3643,3,73995043452,2024-03-23,60
7249,9,28071869950,2024-04-26,90
6852,11,33764990454,2023-01-10,60
5929,8,22936744417,2023-11-19,70
3521,3,37876999334,2023-09-04,80
6964,2,13175877358,2023-02-26,60
6311,11,22110540023,2023-12-12,60
3004,10,02745005711,2023-11-20,120
9865,11,57897443162,2024-06-09,70
7537,15,69991910508,2024-05-25,70
5724,13,50996286426,2024-05-13,70
5614,2,45957010498,2023-10-12,120
9745,6,89645989579,2024-03-02,60
5803,4,35189146565,2023-07-09,50
9202,10,26099793540,2024-06-10,80
5326,4,46312605313,2023-07-30,100
9448,15,95537597924,2024-07-06,60
5193,3,94069692932,2023-04-11,120
8166,3,48985501290,2023-09-18,70
9581,15,62380496317,2023-04-14,120
9625,12,76434083601,2023-12-20,120
7033,11,44322206577,2023-07-21,120
8630,14,99163960132,2024-03-12,90
6267,9,54914537072,2024-06-18,80
3480,13,23227395700,2024-10-20,100
3729,7,11532995646,2024-04-12,60
8447,14,53381750792,2023-08-24,100
4750,13,89336504598,2024-09-07,60
7247,3,66674260856,2023-03-17,120
4090,10,80382401910,2023-09-30,90
8821,8,26497579174,2023-11-01,100
3970,12,79291203664,2023-04-08,70
7957,2,28965663442,2023-09-01,70
9300,14,45228263301,2024-01-06,90
7349,2,35881437060,2023-12-03,70
5593,15,74752141836,2024-10-04,120
9914,13,79225048243,2024-09-05,90
4947,15,71926519696,2023-08-08,100
6034,14,55870551705,2024-10-02,50
3616,5,89930288625,2023-01-02,120
5774,10,81142843313,2023-03-16,70
6748,2,06268200607,2023-12-08,50
6025,2,64363001979,2023-09-02,80
7373,7,61635133670,2023-05-29,80
3152,14,10521442568,2024-12-08,80
8959,4,76580175248,2023-05-05,70
6772,6,73472772380,2024-02-20,70
5003,1,45075796446,2023-12-26,120
4288,9,17755424728,2024-10-04,100
7517,15,95191325836,2024-08-12,120
9085,9,48663514827,2024-06-02,70
5443,13,85832405433,2023-10-06,70
8670,6,15705035773,2023-07-01,60
6511,5,62016616152,2024-03-06,80
4291,2,21569374556,2023-12-10,80
5599,12,67493924283,2024-07-26,70
8372,2,30033925881,2024-07-06,80
9734,11,46297914693,2023-04-19,60
7109,2,68827921097,2024-08-26,80
9156,8,00757559559,2024-03-10,90
7124,5,84322039662,2023-07-08,90
3486,14,71092215305,2023-08-30,70
8693,4,82012903686,2024-08-11,100
9076,1,35518538887,2023-01-22,50
7924,12,14208290324,2024-11-24,80
6351,14,09575426702,2024-07-26,80
6568,2,91809506800,2024-09-05,60
3237,4,11272025088,2023-04-15,90
3349,10,45782699397,2023-09-21,80
3939,12,84185980644,2024-09-18,120
9693,2,90132812047,2024-01-10,120
6913,9,98595143171,2024-11-23,100
